Address,Balance
0x458cd345b4c05e8df39d0a07220feb4ec19f5e6f,138605.27
0x7404becad09351583443720f8f520f689e93359e,2420.60
0xc6a82e72156a11a2e1634633af5e4517b451f0d9,1667.85
0x1e76528159d10806caaf1ff00a45fc218d1d354b,613.05
0x926f8b145e2210ed46b3e5258a96927bb56b5612,586.67
0x34b5d5153fc1a2107a311ce6412fb69a30d78e15,503.46
0x912e959123909d7deedaad424baba0e7e9604ed9,451.26
0x14a6918283ef3181b3c950aaa818554d2396a8ec,364.50
0xecaa8606d801d9828aa40d42b8fe9d2321a6e8f9,309.61
0xf09d53cf99fd3abb723d8c4793829a460a92a2de,308.07
0x6aad6b12e61988fc84855190f7a61d5ad00d6437,273.86
0x99b279cd45c45550968c0d35d0945a7e1329dad4,268.59
0xce57ebed9ac38402dcaa44f65a1c9b04e26b8283,171.84
0xf7bde593ab9d0f7c9409a44aeac1bbe39e893bed,159.81
0x9c8a7d90155ee178ade1b66e0d6b72c4d252447f,158.54
0x348f13b82eb0ecd0c64304c4870a947d0eafaa54,148.61
0x2a44f4f9eaa02a6db8a5e27ffcf110000e7fb321,141.74
0xd917802e8927969a824ca5fbcdb635fab76ff8ac,141.08
0xc00a6614b8030ce216302016e11c6b4140b5e499,128.58
0x209cc72c78999a4536df882d969e49029605cd04,126.12
0xc1eccb200494a359aafc05873b51d295f1525078,119.46
0xad1a74a31b00ed0403bb7d8b11130e30ae15853c,106.31
0xc68d6130ccd8a56c8fedd0dd59a938d5e11c9f31,103.05
0x0fcaf922a7f33201f5caf3b87e5ecb9b994c6a2a,86.23
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,84.39
0xc870f5ca62d8a54f61340ef3f1b6e84816f1f48b,83.57
0x64d36312b1b3da36dccf35c98dd97d598b5fa499,82.51
0x2c32dc131475adb881510a5685170c1b1d4ea832,81.53
0xccbbf49f910a1147c6d9464b1497caea6e9e3d36,79.54
0xa4dda080e000478eb51c5a9e1122f98ca76ebd8e,64.21
0x7667ad187778fbeb219f3aca07b7ec14659b4d33,58.90
0xb2938bd4c7854c0709c2fefefe1284fb24133d19,58.28
0xe5f470e376554fb613a43fde223e40a3bb338765,56.10
0x7cc1a622fecead4a1c9939031a262858bbcab0ed,53.51
0xb43a9de617ff2a2efc371aa7862cba3eab6cfc5a,51.46
0xd5c0feb746f35ab2bbb58d7d8e3add8d9ba1d423,50.38
0xc3b4797977c919df731f3336d211d791802a9207,50.21
