Address,Balance
0x8e2f7d5aaae5abbd5052acb74019b9b11cb74349,27889.68
0x9aef7c447f6bc8d010b22aff52d5b67785ed942c,21686.25
0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,16062.14
0xdbddb659db12e4a04043136b30df0d1d77623a99,12255.64
0x89808c49f858b86e80b892506cf11606fb25fcdc,9784.64
0x1587c94817bfaa7172f6c82e03bb2ac3a5ad6102,9041.65
0xad95a5fe898679b927c266eb2edfabc7fe268c27,7850.77
0x4eb830651583256455180270166acf753df16095,6660.17
0x5bff1a68663ff91b0650327d83d4230cd00023ad,6047.98
0xed3e3f6d75f0b0624e6772d7e6b36400e40980e1,5541.14
0xaac0aa431c237c2c0b5f041c8e59b3f1a43ac78f,5318.42
0xc928499a080594c8854d1a46dcae5e862acc5d08,5216.52
0x7a6a59588b8106045303e1923227a2cefbec2b66,4822.72
0x8fe02545e479aa8ba77d84e51b1d9ca17b88011a,4745.41
0xb34f2089268c1e7a08b5579248328b20a9f8efd9,4437.42
0xc5b527eceb8d9aa8ee80acf3945af638eb058dc0,4080.07
0x881dd85238ca7a71d12e6499405c9a51a25355c6,4000.00
0x92f5d472bb5018e858e23453641850bfeac30e7d,3800.84
0xcb33844b365c53d3462271cee9b719b6fc8ba06a,3678.53
0x2e33a660742e813ad948fb9f7d682fe461e5fbf3,3600.00
0x615e5022252b31af496574f00d5519c5d93261ab,3507.23
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,3375.51
0xf903672ba62039591812141eecb4cfd9416cfc83,2928.16
0xd89dcd226f1f902d060b4f5897edc130d8a7b312,2631.35
0x285fed35cbea271a711681e84ffd83c68a596a75,2376.79
0x3285f150e7e1a176752959f2e830a31c078c038e,2279.25
0x8a3a27f7ed3594d7c1261e0d16112333d76b3a57,2160.57
0x9dfd75098827fdc75bd0197d12c405b4518f8d11,2052.34
0x28ba242755de3034ac4bd63261e3579bdb37d599,1912.74
0x55f007605d7f78ba48beae6034ec46a2bbe98d3d,1884.72
0xb1e81d0107c5efe867ad850f73db3b21b442835a,1866.75
0x29c7b44e0584624c1e877d3ee0856520e2851ba6,1825.58
0x7a6e41ea4edced41207660e6c0f16345cdd6150a,1787.29
0x84f87dc95e563cb472a1fbc6cdec58e9b74ac882,1692.74
0x01f12fb1d38156fc6d1c9a7d813bde4b52d38e47,1570.47
0x3fddee6383e30571e9ce36112b6c70aacb70aaf5,1477.52
0x0025500c6a6bcaebde159db6a307f4d38503a079,1464.96
0xce1f76ea807d282861ef802d06355c9a19bc82f5,1310.31
0xda035641151d42aa4a25ce51de8f6e53eae0ded7,1300.75
0xa0b6253d7787ae282749b71fd4ef5d5c9d8a9e87,1262.59
0xab752b9bda554d043185591b4b0b4f7bfa280670,1221.73
