Address,Balance
0x200d8a9f8cf1ef581ecaf5eda86e6d3fb85e5416,2148354.62
0x9eb408e53dfa0c877b65bbe874de81247212380e,1944406.62
0xad95a5fe898679b927c266eb2edfabc7fe268c27,1831120.49
0x5f95b333539125f1d3f4e427f0770bb56d6b21bd,1666666.00
0x9e38d938e909e15c155e35fc2dbb9008a1d019af,1379737.96
0x8c0ad528b58b83b50206c81ad35631c02478039b,1233753.87
0x63b9117306b4a7af12fd6d5f47f90033528807b2,1126093.85
0x55c1568efd6d19edec498330952fa7e582fea20a,1109067.77
0xc06320d9028f851c6ce46e43f04aff0a426f446c,753316.01
0xa7499aa6464c078eeb940da2fc95c6acd010c3cc,654213.00
0x78f00e5c4ee80b8ff8c02b693741e748061f5445,645697.26
0x8d365687a75dc7688864822869ae0551bb6fc105,586866.97
0x4f83c87083ccceb90bc105040169f7a0bb74911a,561518.74
0xdfc423a316b2f4ee73632f7c2edf2f6328537e8b,416175.15
0x5634df9ee317b3f7286f982088f899b2a4d48fab,411163.67
0xe43e9101c63af97c55fccc790641a8274a491303,403817.32
0x00e839bc0c9a130afe30974914c4b0100756cff4,403297.25
0xf39bc4acfbcee9c9de828416b5f060fe9f5d34f0,367736.02
0xe70981f2aeb601a12001465c7a5e52aa76adcbec,343583.13
0x5a0feafa574d62c68b627f6cdf2d7491b841c14b,325924.52
0x9cd25036e52f831115c77dcf0e6db69fca56bb04,305516.66
0xfa7028d914ed8bcdc788aae3db48573c5015ef8c,245935.02
0x843535fd571f32ac8cae13682aeb04cfec7d51ca,239711.89
0xc6d06976000e205bb0d8d539da79ecc8f5720ee0,234429.39
0x46fe77258d325714468258e28fcb52e4ffd85720,196312.65
0xe8b309f0f4b280e61620444bc076a66d0cbc38f4,195219.54
0x8e3fabf5a1e4b773c227d2646eb2470263d3a1bf,180674.41
0x29e95eB8B1Ce9aeb4C645E7a218F851Cced65D18,175862.00
0x8d3c2279aaddeaf54e70fb28c5d7eedd7674d9c6,175802.12
0x6a927143f45b2385c778a0fa0c23ac07e4da1cee,156607.96
0xfffbcd322ceace527c8ec6da8de2461c6d9d4e6e,154753.22
